<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.BTC-USD,1,20230101,032300,16525.5600000,16531.6100000,16523.7500000,16531.4500000,9
GDAX.BTC-USD,1,20230101,032400,16530.1300000,16530.9600000,16524.8700000,16526.3600000,14
GDAX.BTC-USD,1,20230101,032500,16527.3800000,16530.9000000,16524.8200000,16530.2800000,12
GDAX.BTC-USD,1,20230101,032600,16530.2700000,16532.3700000,16527.8200000,16530.1400000,26
GDAX.BTC-USD,1,20230101,032700,16531.2600000,16534.6400000,16530.2900000,16533.7900000,6
GDAX.BTC-USD,1,20230101,032800,16533.3200000,16533.8500000,16532.2500000,16533.8400000,11
GDAX.BTC-USD,1,20230101,032900,16533.1800000,16534.6600000,16530.6300000,16533.4300000,22
GDAX.BTC-USD,1,20230101,033000,16533.7700000,16533.7800000,16510.0000000,16525.7700000,125
GDAX.BTC-USD,1,20230101,033100,16525.7100000,16527.8000000,16523.9900000,16525.5700000,8
GDAX.BTC-USD,1,20230101,033200,16525.9500000,16526.2500000,16519.5100000,16521.1700000,6
GDAX.BTC-USD,1,20230101,033300,16521.1500000,16522.4800000,16519.0500000,16520.7600000,5
GDAX.BTC-USD,1,20230101,033400,16520.6000000,16520.8900000,16511.6000000,16516.8200000,32
GDAX.BTC-USD,1,20230101,033500,16516.2300000,16518.6800000,16511.2000000,16514.1100000,22
GDAX.BTC-USD,1,20230101,033600,16514.1000000,16515.2400000,16503.5600000,16509.0500000,87
GDAX.BTC-USD,1,20230101,033700,16510.6300000,16510.6300000,16498.0500000,16504.5400000,21
GDAX.BTC-USD,1,20230101,033800,16505.2200000,16510.5000000,16503.2600000,16507.4400000,24
GDAX.BTC-USD,1,20230101,033900,16507.4500000,16516.4000000,16507.4500000,16514.6700000,13
GDAX.BTC-USD,1,20230101,034000,16513.6100000,16514.4600000,16510.5500000,16512.8800000,17
GDAX.BTC-USD,1,20230101,034100,16512.8500000,16513.9300000,16503.7400000,16504.3300000,17
GDAX.BTC-USD,1,20230101,034200,16504.3200000,16506.7200000,16502.4900000,16505.4300000,9
GDAX.BTC-USD,1,20230101,034300,16504.8900000,16507.8300000,16504.5700000,16506.9300000,4
GDAX.BTC-USD,1,20230101,034400,16506.7700000,16512.7900000,16506.5000000,16506.5000000,20
GDAX.BTC-USD,1,20230101,034500,16506.4600000,16510.4900000,16505.4900000,16510.2400000,12
GDAX.BTC-USD,1,20230101,034600,16510.1400000,16513.9600000,16507.7600000,16512.4800000,16
GDAX.BTC-USD,1,20230101,034700,16512.4800000,16520.0000000,16511.0000000,16518.5600000,25
GDAX.BTC-USD,1,20230101,034800,16518.5600000,16523.3600000,16518.2000000,16522.4700000,11
GDAX.BTC-USD,1,20230101,034900,16522.3600000,16525.0000000,16518.2700000,16520.6300000,11
GDAX.BTC-USD,1,20230101,035000,16520.4900000,16520.7900000,16516.5700000,16516.8400000,6
GDAX.BTC-USD,1,20230101,035100,16517.3200000,16519.2200000,16516.5800000,16519.1600000,3
GDAX.BTC-USD,1,20230101,035200,16519.1900000,16519.5400000,16516.7600000,16518.4300000,7
GDAX.BTC-USD,1,20230101,035300,16518.9000000,16519.7100000,16516.9900000,16519.7100000,2
GDAX.BTC-USD,1,20230101,035400,16519.3000000,16522.3500000,16518.4400000,16522.2100000,28
GDAX.BTC-USD,1,20230101,035500,16521.4500000,16523.0300000,16520.2000000,16522.9600000,6
GDAX.BTC-USD,1,20230101,035600,16522.9500000,16524.3600000,16521.3100000,16523.2200000,9
GDAX.BTC-USD,1,20230101,035700,16523.2500000,16526.3800000,16522.7600000,16523.1500000,18
GDAX.BTC-USD,1,20230101,035800,16523.6100000,16525.1600000,16520.2000000,16522.0300000,33
GDAX.BTC-USD,1,20230101,035900,16521.3900000,16521.5900000,16519.0500000,16519.8100000,5
GDAX.BTC-USD,1,20230101,040000,16519.8400000,16520.8000000,16517.0100000,16519.1900000,14
GDAX.BTC-USD,1,20230101,040100,16519.7900000,16523.2600000,16517.1200000,16523.2400000,10
GDAX.BTC-USD,1,20230101,040200,16523.0800000,16527.0100000,16521.5700000,16525.1500000,18
GDAX.BTC-USD,1,20230101,040300,16525.1500000,16528.2800000,16523.4100000,16525.4900000,10
GDAX.BTC-USD,1,20230101,040400,16525.4100000,16526.5300000,16520.8500000,16522.6700000,6
GDAX.BTC-USD,1,20230101,040500,16522.6600000,16524.5400000,16521.9300000,16523.5100000,12
GDAX.BTC-USD,1,20230101,040600,16523.5100000,16525.6300000,16522.5800000,16525.1200000,32
GDAX.BTC-USD,1,20230101,040700,16525.1000000,16527.2600000,16524.4100000,16527.2400000,6
GDAX.BTC-USD,1,20230101,040800,16527.2400000,16527.5500000,16525.0600000,16527.2200000,5
GDAX.BTC-USD,1,20230101,040900,16527.0800000,16531.7900000,16525.3500000,16530.0600000,19
GDAX.BTC-USD,1,20230101,041000,16530.0500000,16532.0000000,16529.8100000,16530.5500000,13
GDAX.BTC-USD,1,20230101,041100,16530.5500000,16531.9800000,16527.4100000,16530.8000000,27
GDAX.BTC-USD,1,20230101,041200,16530.4900000,16531.4800000,16524.7300000,16528.4300000,18
GDAX.BTC-USD,1,20230101,041300,16528.4300000,16532.8000000,16527.6000000,16532.0700000,16
GDAX.BTC-USD,1,20230101,041400,16532.0700000,16532.7800000,16528.0300000,16528.8400000,12
GDAX.BTC-USD,1,20230101,041500,16528.8200000,16531.6100000,16527.2800000,16528.3900000,18
GDAX.BTC-USD,1,20230101,041600,16528.3900000,16529.5400000,16524.1600000,16526.4900000,7
GDAX.BTC-USD,1,20230101,041700,16526.6000000,16526.6300000,16524.6800000,16526.6300000,7
GDAX.BTC-USD,1,20230101,041800,16526.6200000,16528.9500000,16525.0900000,16528.6500000,20
GDAX.BTC-USD,1,20230101,041900,16528.6600000,16531.0900000,16525.9000000,16530.6100000,34
GDAX.BTC-USD,1,20230101,042000,16530.6300000,16531.0900000,16527.0500000,16530.6600000,12
GDAX.BTC-USD,1,20230101,042100,16530.7300000,16530.7300000,16524.8200000,16527.0300000,40
GDAX.BTC-USD,1,20230101,042200,16526.1000000,16528.6800000,16525.1800000,16525.3000000,12
GDAX.BTC-USD,1,20230101,042300,16526.2500000,16526.5700000,16521.3100000,16524.1700000,5
GDAX.BTC-USD,1,20230101,042400,16524.1700000,16528.9400000,16523.3000000,16528.7400000,4
GDAX.BTC-USD,1,20230101,042500,16528.7000000,16529.0500000,16525.1600000,16526.4900000,7
GDAX.BTC-USD,1,20230101,042600,16526.7200000,16527.6900000,16525.2100000,16525.9100000,5
GDAX.BTC-USD,1,20230101,042700,16526.8400000,16527.0500000,16522.2500000,16523.6300000,10
